Var01,Var02,Var03,Var04,Var05,Var06,Var07,Var08,Var09,Var10,Var11
320280,Sul Esp›rito-santense,30.8,25.33,36.27,30.65,27.65,33.65,0.42,0.39,0.45
320290,Central Esp›rito-santense,18.04,12.59,23.49,21.64,18.73,24.55,0.42,0.39,0.46
320300,Sul Esp›rito-santense,41.59,36.05,47.12,42.96,39.54,46.38,0.45,0.42,0.48
320305,Litoral Norte Esp›rito-santense,43.64,38.71,48.57,44.38,41.57,47.19,0.43,0.4,0.47
320310,Sul Esp›rito-santense,40.91,34.91,46.9,39.76,36.19,43.32,0.45,0.41,0.48
320313,Litoral Norte Esp›rito-santense,25.23,19.83,30.64,24.15,21.7,26.6,0.42,0.39,0.44
320316,Central Esp›rito-santense,22.92,17.07,28.78,26.95,23.75,30.16,0.39,0.36,0.43
320320,Litoral Norte Esp›rito-santense,37.12,32.96,41.29,33.8,31.67,35.93,0.48,0.46,0.49
320330,Noroeste Esp›rito-santense,65.24,58.92,71.55,65.38,59.56,71.21,0.47,0.42,0.51
320332,Sul Esp›rito-santense,24.58,18.18,30.99,21.82,19.19,24.46,0.43,0.4,0.45
320334,Central Esp›rito-santense,19.54,14.74,24.35,21.38,18.9,23.87,0.42,0.39,0.45
320335,Noroeste Esp›rito-santense,15.83,11.01,20.65,18.03,15.62,20.44,0.41,0.38,0.45
320340,Sul Esp›rito-santense,35.42,30.42,40.43,37.17,34.25,40.08,0.47,0.44,0.5
320350,Litoral Norte Esp›rito-santense,60.56,54.03,67.09,58.99,53.75,64.23,0.49,0.45,0.53
320360,Litoral Norte Esp›rito-santense,44.38,34.96,53.79,45.51,39.12,51.9,0.42,0.38,0.46
320370,Sul Esp›rito-santense,43.26,37.15,49.37,47.03,43.01,51.05,0.47,0.42,0.51
320380,Sul Esp›rito-santense,26.85,22.49,31.22,26.8,24.71,28.89,0.44,0.41,0.46
320390,Noroeste Esp›rito-santense,38.85,34.67,43.03,38.46,36.01,40.9,0.47,0.44,0.49
320400,Noroeste Esp›rito-santense,47.22,41.26,53.18,50,46.02,53.97,0.46,0.42,0.49
320405,Litoral Norte Esp›rito-santense,57.28,50.4,64.15,52.29,47.89,56.69,0.46,0.43,0.5
320410,Litoral Norte Esp›rito-santense,57.91,51.24,64.58,57.08,51.96,62.19,0.44,0.41,0.48
